pop_size, elite_size, mut_rate, mut_type, cross_type, time_avg (s), best_distance_avg,  nr_generations_avg
80, 30, 0.0001, swap, order, 9.884645080566406, 26344.2, 119.6
80, 30, 0.0001, swap, cycle, 2.5216965198516847, 37461.4, 28.4
80, 30, 0.0001, invert, order, 9.60312099456787, 26447.8, 115.2
80, 30, 0.0001, invert, cycle, 2.903053379058838, 36388.2, 33.4
80, 30, 0.0001, insert, order, 9.554363822937011, 25325.6, 113.4
80, 30, 0.0001, insert, cycle, 2.9366466999053955, 37021.0, 32
80, 30, 0.0001, disp, order, 9.655086374282837, 26146.4, 116.8
80, 30, 0.0001, disp, cycle, 2.6489118576049804, 37113.4, 30.2
80, 30, 0.001, swap, order, 11.388553190231324, 26057.0, 136
80, 30, 0.001, swap, cycle, 2.460530090332031, 38035.6, 27.6
80, 30, 0.001, invert, order, 11.929832649230956, 23703.4, 145.4
80, 30, 0.001, invert, cycle, 2.5003975868225097, 37977.0, 28.4
80, 30, 0.001, insert, order, 10.803992795944215, 25138.0, 129.4
80, 30, 0.001, insert, cycle, 2.5607478618621826, 37657.6, 28.6
80, 30, 0.001, disp, order, 10.23848581314087, 24888.8, 124.4
80, 30, 0.001, disp, cycle, 2.3883996963500977, 37793.2, 25.8
80, 30, 0.01, swap, order, 15.377111911773682, 23390.4, 187.8
80, 30, 0.01, swap, cycle, 3.9209617137908936, 37789.2, 46.2
80, 30, 0.01, invert, order, 14.57359857559204, 22610.0, 179
80, 30, 0.01, invert, cycle, 5.527567672729492, 36938.0, 66.8
80, 30, 0.01, insert, order, 12.504573678970337, 24550.0, 152.6
80, 30, 0.01, insert, cycle, 3.946348237991333, 37154.2, 46.4
80, 30, 0.01, disp, order, 11.418578863143921, 25175.8, 139.4
80, 30, 0.01, disp, cycle, 4.948674488067627, 35524.6, 58.4
80, 30, 0.1, swap, order, 19.870227575302124, 20676.6, 245.8
80, 30, 0.1, swap, cycle, 19.308905363082886, 25790.2, 240.6
80, 30, 0.1, invert, order, 18.861082363128663, 19441.4, 231.8
80, 30, 0.1, invert, cycle, 19.600062608718872, 24897.2, 244
80, 30, 0.1, insert, order, 18.765806579589842, 19764.2, 231.2
80, 30, 0.1, insert, cycle, 20.00857515335083, 24827.600000000002, 250
80, 30, 0.1, disp, order, 16.72841172218323, 21414.6, 204.8
80, 30, 0.1, disp, cycle, 18.28282265663147, 25322.600000000002, 226.4
80, 60, 0.0001, swap, order, 2.6866177558898925, 36532.0, 43
80, 60, 0.0001, swap, cycle, 2.2199098110198974, 39239.8, 34.6
80, 60, 0.0001, invert, order, 6.024218606948852, 33036.8, 101
80, 60, 0.0001, invert, cycle, 2.0952121734619142, 39590.0, 32
80, 60, 0.0001, insert, order, 4.776452922821045, 34481.0, 78.2
80, 60, 0.0001, insert, cycle, 2.5188451766967774, 39100.8, 39.6
80, 60, 0.0001, disp, order, 4.483450889587402, 33997.6, 74.4
80, 60, 0.0001, disp, cycle, 2.6305912494659425, 38248.4, 41.2
80, 60, 0.001, swap, order, 3.636161184310913, 34881.0, 59.4
80, 60, 0.001, swap, cycle, 2.7729049205780028, 37405.8, 43.4
80, 60, 0.001, invert, order, 5.497218751907349, 32012.6, 91
80, 60, 0.001, invert, cycle, 2.1801661014556886, 38583.0, 34
80, 60, 0.001, insert, order, 8.506863594055176, 30771.6, 142.8
80, 60, 0.001, insert, cycle, 2.560369443893433, 38270.8, 39.6
80, 60, 0.001, disp, order, 2.2107399463653565, 37573.2, 35.2
80, 60, 0.001, disp, cycle, 1.7706798553466796, 39517.8, 26.6
80, 60, 0.01, swap, order, 8.223931217193604, 30356.8, 137
80, 60, 0.01, swap, cycle, 3.232436752319336, 38043.6, 51.2
80, 60, 0.01, invert, order, 3.1166741371154787, 36092.2, 50.6
80, 60, 0.01, invert, cycle, 4.1544716358184814, 36589.2, 68
80, 60, 0.01, insert, order, 5.975825834274292, 32577.8, 98.6
80, 60, 0.01, insert, cycle, 2.926920461654663, 37517.0, 46.6
80, 60, 0.01, disp, order, 5.157509803771973, 33872.0, 85
80, 60, 0.01, disp, cycle, 3.3115193367004396, 38529.4, 52.8
80, 60, 0.1, swap, order, 7.930719566345215, 30971.6, 131.2
